"alpha","tau","delta","convergence"
0.981962844353827,0.153295774432156,0.177028564913925,1
0.126465156296009,0.023801329245956,0.135082505638847,1
0.137010458544307,0.0288563315392325,0.122154184981112,1
0.78475607649318,0.106666186227144,0.216539556120607,1
0.169216385460713,0.0506185617054028,0.0917910760008185,1
0.34344419007811,0.0691521400498233,0.120555421465519,1
0.314867720148556,0.060464405236816,0.0797475616246145,1
0.348995557167378,0.0611765972690868,0.144952730603655,1
0.122971547019441,0.016957587437002,0.18509955821955,1
0.167095063290563,0.0318057212594367,0.098855166737972,1
0.211929569023258,0.0277967556462487,0.188700092947652,1
0.191851086279535,0.0678925437331421,0.0746240612220113,1
0.247484465241622,0.0791680802024953,0.0760716879840969,1
0.423758990418464,0.0604634243396371,0.171470783434784,1
0.0985417473340318,0.013599887968803,0.186178493503491,1
0.0820733910367973,0.0124690814769193,0.180247679688995,1
0.483356833898093,0.0758367691079204,0.146435185499628,1
0.183442804059135,0.0325545411648798,0.133063678311265,1
0.780677969647206,0.131905823840751,0.17485378527278,1
0.11154748223027,0.0184848717105753,0.150225375272387,1
0.531436616150521,0.119120988221374,0.110897448786474,1
0.64282289366251,0.101921613808689,0.1720860964838,1
0.347135552097286,0.0998854638319981,0.0845785728991023,1
0.288098832482554,0.0996083289201625,0.0669024663258033,1
0.178881854107998,0.0231008300483531,0.185222617470087,1
0.331577444878376,0.0996242215389442,0.0604282718906744,1
0.134663457332154,0.0248670094733004,0.121172870976169,1
0.303028888559828,0.0550420110703087,0.110576841857603,1
0.479082967718393,0.0863506488074349,0.144834747409816,1
0.0983830509629255,0.0232193892994024,0.125604943091628,1
0.384639009804336,0.0623722204936983,0.134835235380038,1
0.419353229728586,0.0669130213268766,0.15008405680468,1
0.063860804311736,0.0119564184874413,0.167611097336589,1
0.215303260306803,0.0521457210170712,0.0902334539099118,1
0.192793777591218,0.0831965635364011,0.0661828904861467,1
0.167228305629736,0.0284312907163697,0.0758919488586631,1
0.20906850727413,0.0283072091403973,0.183424932148353,1
0.140620828627379,0.0325007630328584,0.115421447151335,1
0.16220343137457,0.0167334067351587,0.214828806009267,1
0.574274617440422,0.106075473164093,0.139689113759901,1
0.0707188497996481,0.0126899633727452,0.133383521928473,1
0.183011557811048,0.0202547004703421,0.177096103374072,1
0.295458082384194,0.102843370409927,0.0725919611652683,1
0.224806160806802,0.0335644534788162,0.169956946969609,1
0.13114240126471,0.0209992559571464,0.156968133528746,1
0.287129937329736,0.056168017749128,0.0735160635166002,1
0.0928818511708419,0.0159808167867084,0.154169151458878,1
