"alpha","tau","delta","convergence"
1.85912951,0.086345167,1.107429936,1
2.457376285,0.217097016925,1.20993838325,1
4.58917875,0.191152980975,1.6473192975,1
4.12407633,0.1932893817,1.25286404175,1
4.466065895,0.231491334175,2.1675714925,1
4.03478223,0.069889342825,0.81435856825,1
5.6331995575,0.251310327325,2.1199453325,1
4.1089422875,0.149419346775,0.99762791925,1
2.862452075,0.2596533114,1.45659792925,1
3.7774966275,0.477456442,1.05193354775,1
0.98062193475,0.48827750025,1.0788850055,1
6.3379075325,0.801009419025,1.74941803,1
1.0800688305,0.02589896005,1.8839573825,1
3.902261335,0.078718453825,1.5892441325,1
3.5496220475,0.346121331475,2.0075110925,1
5.12431725,0.16790071445,1.99484509,1
4.1071756325,0.250186669075,1.78738098,1
3.378188155,0.0716058702,1.22849091,1
1.3199524575,0.18444616125,1.9364780025,1
2.3974140925,0.26546030925,1.6345290125,1
3.422498935,0.383755309925,0.93556423525,1
4.5768278075,0.2783763586,1.21339608575,1
5.3086406425,0.2012897582,1.6174899175,1
1.114316573,0.117733223825,0.77746325025,1
2.776486005,0.7487201415,0.89758990275,1
6.4516513225,0.70414039385,2.0470981975,0
1.570228595,0.757776871,1.426591533,1
5.6358519525,0.11484861645,1.9222559375,1
3.409020405,0.20896774365,2.31296755,0
4.6051344,0.1684123887,0.6051393205,1
2.4647886825,0.23125409215,1.08229493225,1
5.39339812,0.15989098815,1.68645917,1
3.3149890425,0.1063997551,1.78792198,1
2.594193485,0.060489494575,1.341908853,1
2.4772778525,0.72700702125,0.71623734625,1
3.095746475,0.35721141175,1.6419351125,1
1.5448409025,0.165186099125,1.1907712995,1
3.72895483,0.14827354585,1.77070241,1
3.64456216,0.451153628825,0.97748598925,1
4.655120265,0.236977647875,1.505827096,1
4.63432116,0.277793427225,1.15077180825,1
0.84356622425,0.29158842175,1.6106541225,1
0.996160191,0.094829803425,1.6477433875,1
2.2454781475,0.05796838265,1.2230376,1
3.150281295,0.138080249625,0.4724734455,1
2.8674111875,0.60653288125,1.9372491025,1
0.81575152875,0.12178932225,1.1811728445,1
0.976892621,0.27778445025,1.4788034745,1
